action_type,combined_shot_type,minutes_remaining,period,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range
Jump Shot,Jump Shot,0,2,34,28,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,3,13,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Turnaround Jump Shot,Jump Shot,3,3,32,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,2,3,52,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,3,0,65,0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot
Jump Shot,Jump Shot,9,4,59,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Driving Finger Roll Shot,Layup,8,4,20,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,4,59,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,4,31,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,4,2,31,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,1,43,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Turnaround Jump Shot,Jump Shot,8,1,29,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,1,2,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,1,58,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Layup Shot,Layup,1,1,42,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,1,40,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,1,3,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,2,11,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,5,2,24,22,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,2,37,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,2,37,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,2,7,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,2,3,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,2,0,22,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.
Fadeaway Jump Shot,Jump Shot,11,3,8,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Reverse Layup Shot,Layup,9,3,6,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,8,3,37,20,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,3,8,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,3,52,20,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,3,56,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Layup Shot,Layup,11,4,42,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Bank Shot,Jump Shot,10,4,12,9,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Fadeaway Jump Shot,Jump Shot,9,4,1,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Layup Shot,Layup,8,4,19,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,4,4,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,4,52,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,4,55,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,4,33,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Fadeaway Jump Shot,Jump Shot,0,4,57,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,39,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,18,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,7,1,37,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Bank Shot,Jump Shot,5,1,21,12,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,4,1,41,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Layup Shot,Layup,2,1,48,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,1,44,22,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,1,34,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,1,17,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,6,2,45,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,2,48,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,2,22,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Dunk Shot,Dunk,2,2,8,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,2,23,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Turnaround Jump Shot,Jump Shot,10,3,18,21,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,3,31,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,7,3,52,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,3,22,8,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,6,3,47,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Layup Shot,Layup,5,3,38,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Fadeaway Jump Shot,Jump Shot,3,3,8,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Turnaround Jump Shot,Jump Shot,10,4,44,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,4,9,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,4,25,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,4,29,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Turnaround Jump Shot,Jump Shot,6,4,35,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Layup Shot,Layup,5,4,56,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,3,4,51,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,4,15,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,4,46,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,1,4,20,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Finger Roll Shot,Layup,8,1,5,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,6,1,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Running Jump Shot,Jump Shot,2,1,12,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Running Jump Shot,Jump Shot,0,1,4,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,2,15,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Layup Shot,Layup,1,2,12,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,2,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,8,3,43,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,7,3,41,24,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Jump Shot,Jump Shot,5,4,45,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,2,4,59,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,4,24,14,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Driving Layup Shot,Layup,0,4,42,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,4,40,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,37,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,9,1,8,27,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,8,1,36,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,7,1,14,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,4,1,23,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,2,1,58,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,1,1,27,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,0,1,43,27,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,1,11,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,2,50,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,4,2,5,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Turnaround Jump Shot,Jump Shot,2,2,58,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,1,2,34,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,0,2,58,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,2,2,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,3,30,10,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Reverse Layup Shot,Layup,9,3,16,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,3,3,11,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Fadeaway Jump Shot,Jump Shot,11,4,40,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,4,53,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,7,4,37,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,4,32,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,4,38,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Fadeaway Jump Shot,Jump Shot,1,4,0,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Layup Shot,Layup,6,1,18,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Turnaround Jump Shot,Jump Shot,4,1,39,20,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,1,4,18,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,1,10,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,9,2,22,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Driving Layup Shot,Layup,9,2,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,2,0,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Driving Layup Shot,Layup,1,2,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,9,3,37,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,7,3,57,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,3,47,21,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,3,46,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Running Jump Shot,Jump Shot,10,4,59,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,9,4,32,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,1,4,34,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Bank Shot,Jump Shot,11,1,6,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,4,1,14,13,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,2,1,46,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Running Jump Shot,Jump Shot,1,1,7,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Running Jump Shot,Jump Shot,0,1,36,11,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,1,3,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Layup Shot,Layup,9,2,34,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,2,50,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,3,36,24,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Running Jump Shot,Jump Shot,7,3,34,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,7,3,2,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,3,48,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,2,3,16,20,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Layup Shot,Layup,1,3,47,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,3,0,59,0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot
Jump Shot,Jump Shot,4,4,15,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,3,4,23,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,1,1,21,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,33,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,9,1,27,14,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Layup Shot,Layup,7,1,41,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Turnaround Jump Shot,Jump Shot,6,1,0,10,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Layup Shot,Layup,3,1,45,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Fadeaway Jump Shot,Jump Shot,3,1,20,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,2,1,41,22,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,1,15,11,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,11,2,50,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Reverse Layup Shot,Layup,11,2,25,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,9,2,46,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,8,2,9,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,2,41,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,2,5,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,2,56,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,2,2,30,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,1,2,13,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,3,23,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Reverse Dunk Shot,Dunk,9,3,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,7,3,59,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,3,29,10,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,3,3,32,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,3,2,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Layup Shot,Layup,2,3,40,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,3,57,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Reverse Layup Shot,Layup,0,3,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,11,4,28,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,10,4,15,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,4,0,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,6,4,40,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,6,4,5,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,4,4,19,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,2,4,19,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,1,4,2,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,1,10,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Reverse Dunk Shot,Dunk,10,1,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,7,1,56,20,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,1,27,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,1,39,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,2,18,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,1,2,22,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,2,25,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,3,39,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,11,3,12,14,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,10,3,43,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,3,15,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,9,3,33,27,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,7,3,56,22,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,3,23,22,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,3,47,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,3,52,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,2,3,6,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,3,25,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Fadeaway Jump Shot,Jump Shot,7,4,34,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,4,43,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,4,33,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,4,45,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Fadeaway Jump Shot,Jump Shot,10,1,47,16,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,1,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Turnaround Jump Shot,Jump Shot,8,1,52,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,1,8,22,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.
Layup Shot,Layup,2,1,19,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,2,1,16,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Reverse Layup Shot,Layup,0,1,51,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,1,2,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Layup Shot,Layup,7,2,49,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,6,2,51,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Fadeaway Jump Shot,Jump Shot,4,2,57,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Slam Dunk Shot,Dunk,2,2,4,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,1,2,22,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,10,3,30,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,8,3,58,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,3,3,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,3,10,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Layup Shot,Layup,0,3,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,3,32,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,6,4,1,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,4,57,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,1,4,57,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,4,14,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,4,0,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Driving Dunk Shot,Dunk,4,5,18,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,5,51,20,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,5,23,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,1,6,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,31,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,1,15,27,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,6,1,23,20,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,1,48,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,1,46,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Fadeaway Jump Shot,Jump Shot,1,1,19,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,1,1,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,8,2,9,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,2,7,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Turnaround Jump Shot,Jump Shot,6,2,40,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,2,9,28,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,3,2,25,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,2,4,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,2,38,12,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,9,3,54,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Turnaround Jump Shot,Jump Shot,8,3,13,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,3,35,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,3,43,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Turnaround Jump Shot,Jump Shot,7,4,27,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
